workers,shards,gcs,gcsdelay,bytes,mean,stddev
64,1,0,0,10,360.61854999999997,22.587156924843377
64,1,0,5,10,355.1822000000001,17.387625799976263
64,1,1,0,10,410.73650000000004,16.785823141865876
64,1,1,5,10,860.9085500000002,14.831750919817264
64,1,2,0,10.0,72.61552805000002,43.93333706314767
64,1,0,0,100,550.3846,54.188227243009166
64,1,0,5,100,550.8265,54.72170677391194
64,1,1,0,100,694.9212500000001,85.4395368883019
64,1,1,5,100,1184.42175,73.7420572413565
64,1,2,0,100.0,530.1704884,74.95770515003083
64,1,0,0,1000,4731.9465,119.02249006616351
64,1,0,5,1000,4708.4172,116.51237653253843
64,1,1,0,1000,4715.12225,95.22703249596468
64,1,1,5,1000,4992.181200000001,101.5165353676927
64,1,2,0,1000.0,4945.8088637,166.92809641133468
