workers,shards,gcs,gcsdelay,bytes,mean,stddev
4,1,0,0,10,31.54934999999999,1.6460551410873212
4,1,0,5,10,30.626350000000002,0.9760062640680127
4,1,1,0,10,31.530849999999994,1.089077558073804
4,1,1,5,10,66.66185,0.843507633338312
4,1,2,0,10.0,32.8903438,0.6644057441117296
4,1,0,0,100,287.81225000000006,8.105667460949777
4,1,0,5,100,280.0293,12.206063407585594
4,1,1,0,100,283.70145,7.776673424254099
4,1,1,5,100,300.56800000000004,2.0945010145617027
4,1,2,0,100.0,304.332006,2.2705543521519607
4,1,0,0,1000,2772.8259500000004,65.84189183906778
4,1,0,5,1000,2776.8743,80.15469304420039
4,1,1,0,1000,2776.949800000001,61.61976747976254
4,1,1,5,1000,2808.4055000000003,59.69708198270662
4,1,2,0,1000.0,3185.6753349500004,184.53721946122553
